Database,GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
July 2025,G100000106705,L100000104204,United States,https://www.gem.wiki/Martin_Lake_Steam_Station,Martin Lake Steam Station,Unit 3,,,Luminant Generation Company LLC [100%],E100000003498 [100%],Vistra Corp [100.0%],E100000001322 [100.0%],793.2,operating,1979.0,,,supercritical,lignite,,,,,Tatum,Rusk,,Texas,Northern America,Americas,32.259758,-94.570514,exact,,,,,,,,,46,0.55,10511.25,101000,4.280751240589148,5,21.40375620294574
July 2025,G100000106764,L100000104083,United States,https://www.gem.wiki/Mayo_Generating_Plant,Mayo Generating Plant,Unit 1,,,Duke Energy Progress LLC [100%],E100000002842 [100%],Duke Energy Corp [100.0%],E100000001194 [100.0%],735.8,operating,1983.0,,2030.0,subcritical,bituminous,,,,,Bethel Hill,Person,,North Carolina,Northern America,Americas,36.5278,-78.891869,exact,,,,,,,,,42,0.55,10877.5,94600,3.848943697552024,5,19.24471848776012
July 2025,G100000106881,L100000103891,United States,https://www.gem.wiki/Merom_Generating_Station,Merom Generating Station,Unit 2,,,Hallador Power Company LLC [100%],E100001001309 [100%],Hoosier Energy Rural Electric Cooperative Inc,E100000002265,540.0,operating,1983.0,,,subcritical,bituminous,,,,,Sullivan,Sullivan,,Indiana,Northern America,Americas,39.069706,-87.511392,exact,,,,,,,,,42,0.55,10877.5,94600,2.82472084354185,5,14.12360421770925
July 2025,G100000106883,L100000104049,United States,https://www.gem.wiki/Merrimack_Station,Merrimack Station,Unit 2,,,Granite Shore Power LLC [100%],E100000003111 [100%],Atlas Holdings LLC; Energy Trading Innovations LLC,E100000001148; E100001011290,345.6,operating,1968.0,,2028.0,subcritical,bituminous,,,,,Bow,Merrimack,,New Hampshire,Northern America,Americas,43.141094,-71.467511,exact,,,,,,,,,57,0.55,11747.7,94600,1.952447047056127,3,5.857341141168381
July 2025,G100000106904,L100000104113,United States,https://www.gem.wiki/Miami_Fort_Station,Miami Fort Station,Unit 8,,,Miami Fort Power Company LLC [100%],E100001015213 [100%],Vistra Corp [100.0%],E100000001322 [100.0%],557.1,operating,1978.0,,2027.0,subcritical,bituminous,,,,,North Bend,Hamilton,,Ohio,Northern America,Americas,39.113094,-84.802919,exact,,,,,,,,,47,0.55,10877.5,94600,2.914170336920675,2,5.828340673841351
July 2025,G100000106905,L100000103892,United States,https://www.gem.wiki/Michigan_City_Generating_Station,Michigan City Generating Station,Unit 12,,,Northern Indiana Public Service Company LLC [100%],E100000003663 [100%],NiSource Inc [100.0%],E100000001268 [100.0%],540.0,operating,1974.0,,2028.0,supercritical,bituminous,,,,,Michigan City,La Porte,,Indiana,Northern America,Americas,41.722017,-86.909394,exact,,,,,,,,,51,0.55,10511.25,94600,2.729611304682075,3,8.188833914046224
July 2025,G100000106921,L100000103945,United States,https://www.gem.wiki/Mill_Creek_Station,Mill Creek Station,Unit 4,Mill Creek Generating Station,,Louisville Gas & Electric Co [100%],E100000003494 [100%],PPL Corp [100.0%],E100000001278 [100.0%],543.6,operating,1982.0,,2035.0,subcritical,bituminous,,,,,Louisville,Jefferson,,Kentucky,Northern America,Americas,38.052378,-85.909811,exact,,,,,,,,,43,0.55,10877.5,94600,2.843552315832129,10,28.43552315832129
July 2025,G100000106922,L100000103783,United States,https://www.gem.wiki/Miller_Steam_Plant,Miller Steam Plant,Unit 1,James H. Miller Jr. Steam Plant,,PowerSouth Energy Cooperative [8%]; Alabama Power Co [91%],E100000002418 [91%]; E100000002306 [8%],Southern Co [91.8%]; PowerSouth Energy Cooperative [8.2%],E100000001309 [91.8%]; E100000002306 [8.2%],705.5,operating,1978.0,,,subcritical,subbituminous,,,,,West Jefferson,Jefferson,,Alabama,Northern America,Americas,33.633167,-87.059794,exact,,,,,,,,,47,0.55,10877.5,96100,3.748962049700773,5,18.74481024850387
July 2025,G100000106930,L100000104094,United States,https://www.gem.wiki/Milton_R._Young_Station,Milton R. Young Station,Unit 2,,,Square Butte Electrical Cooperative Inc [100%],E100001001416 [100%],Square Butte Electrical Cooperative Inc [100.0%],E100001001416 [100.0%],495.0,operating,1977.0,,,subcritical,lignite,,,,,Center,Oliver,,North Dakota,Northern America,Americas,47.066106,-101.214564,exact,,,,,,,,,48,0.55,10877.5,101000,2.764503926334562,5,13.82251963167281
July 2025,G100000106956,L100000104256,United States,https://www.gem.wiki/Mitchell_Plant,Mitchell Plant,Unit 2,,,Kentucky Power Co [50%]; Wheeling Power Co [50%],E100000003413 [50%]; E100001001444 [50%],American Electric Power Company Inc [100.0%],E100000001140 [100.0%],816.3,operating,1971.0,,2040.0,supercritical,bituminous,,,,,Moundsville,Marshall,,West Virginia,Northern America,Americas,39.838189,-80.818103,exact,,,,,,,,,54,0.55,10511.25,94600,4.126262422244404,15,61.89393633366605
July 2025,G100000106998,L100000103985,United States,https://www.gem.wiki/Monroe_Power_Plant,Monroe Power Plant,Unit 2,,,DTE Electric Co [100%],E100000002239 [100%],DTE Energy Co,E100002004748,822.6,operating,1973.0,,2032.0,supercritical,bituminous,,,,,Monroe,Monroe,,Michigan,Northern America,Americas,41.890389,-83.344978,exact,,,,,,,,,52,0.55,10511.25,94600,4.158107887465695,7,29.10675521225986
July 2025,G100000107057,L100000104258,United States,https://www.gem.wiki/Mount_Storm_power_station,Mount Storm power station,Unit 1,,,Virginia Electric and Power Co [100%],E100000004306 [100%],Dominion Energy Inc [100.0%],E100000001193 [100.0%],570.2,operating,1965.0,,,subcritical,bituminous,,,,,Mount Storm,Grant,,West Virginia,Northern America,Americas,39.200531,-79.264722,exact,,,,,,,,,60,0.55,10877.5,94600,2.982695972199191,5,14.91347986099596
July 2025,G100000107061,L100000104259,United States,https://www.gem.wiki/Mountaineer_Plant,Mountaineer Plant,Unit 1,,,Appalachian Power Co [100%],E100000002449 [100%],American Electric Power Company Inc [100.0%],E100000001140 [100.0%],1300.0,operating,1980.0,,,supercritical,bituminous,,,,,New Haven,Mason,,West Virginia,Northern America,Americas,38.9792,-81.939805,exact,,,,,,,,,45,0.55,10511.25,94600,6.571286474234625,5,32.85643237117312
July 2025,G100000107122,L100000103915,United States,https://www.gem.wiki/Muscatine_Generating_Station,Muscatine Generating Station,Unit 9,,,Board of Water Electric & Communications [100%],E100001001213 [100%],Board of Water Electric & Communications [100.0%],E100001001213 [100.0%],175.0,operating,1983.0,,,subcritical,subbituminous,,,,,Muscatine,Muscatine,,Iowa,Northern America,Americas,41.389303,-91.0578,exact,,,,,,,,,42,0.55,12617.9,96100,1.078723311253377,5,5.393616556266883
July 2025,G100000107130,L100000104124,United States,https://www.gem.wiki/Muskogee_Generating_Station,Muskogee Generating Station,Unit 6,,,Oklahoma Gas and Electric Co [100%],E100000003695 [100%],OGE Energy Corp [100.0%],E100000001269 [100.0%],572.4,operating,1984.0,,2049.0,subcritical,subbituminous,,,,,Fort Gibson,Muskogee,,Oklahoma,Northern America,Americas,35.761922,-95.287878,exact,,,,,,,,,41,0.55,10877.5,96100,3.041680903258289,24,73.00034167819892
July 2025,G100000107313,L100000104285,United States,https://www.gem.wiki/Naughton_Power_Plant,Naughton Power Plant,"Unit 2, timepoint 1",,,PacifiCorp [100%],E100000003765 [100%],Berkshire Hathaway Inc [100.0%],E100000001155 [100.0%],256.0,operating,1968.0,,2026.0,subcritical,subbituminous,,fossil gas: natural gas,G100001028286,,Kemmerer,Lincoln,,Wyoming,Northern America,Americas,41.758886,-110.597031,exact,,,,,,,,,57,0.55,12617.9,96100,1.578018101033511,1,1.578018101033511
